t,lower1,upper1,lower2,upper2,mean,rep9
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,0,0,0,0,0,0
9,0,0,0,0,0,0
10,0,0,0,0,0,0
11,0,0,0,0,0,0
12,0,0,0,0,0,0
13,0,0,0,0,0,0
14,0,0,0,0,0,0
15,0,0,0,0,0,0
16,0,0,0,0,0,0
17,0,0,0,0,0,0
18,0,0,0,0,0,0
19,0,0,0,0,0,0
20,0,0,0,0,0,0
21,0,0,0,0,0,0
22,0,0,0,0,0,0
23,0,0,0,0,0,0
24,0,0,0,0,0,0
25,0,0,0,0,0,0
26,0,0,0,0,0,0
27,0,0,0,0,0,0
28,0,0,0,0,0,0
29,0,0,0,0,0,0
30,0,0,0,0,0,0
31,0,0,0,0,0,0
32,0,0,0,0,0,0
33,0,0,0,0,0,0
34,0,0,0,0,0,0
35,0,0,0,0,0,0
36,0,0,0,0,0,0
37,0,0,0,0,0,0
38,0,0,0,0,0,0
39,0,0,0,0,0,0
40,0,0,0,0,0,0
41,0,0,0,0,0,0
42,0,0,0,0,0,0
43,0,0,0,0,0,0
44,0,0,0,0,0,0
45,0,0,0,0,0,0
46,0,0,0,0,0,0
47,0,0,0,0,0,0
48,0,0,0,0,0,0
49,0,0,0,0,0,0
50,0,0,0,0,0,0
51,0,0,0,0,0,0
52,0,0,0,0,0,0
53,0,0,0,0,0,0
54,0,0,0,0,0,0
55,0,0,0,0,0,0
56,0,0,0,0,0,0
57,0,0,0,0,0,0
58,0,0,0,0,0,0
59,0,0,0,0,0,0
60,0,0,0,0,0,0
61,0,0,0,0,0,0
62,0,0,0,0,0,0
63,0,0,0,0,0,0
64,0,0,0,0,0,0
65,0,0,0,0,0,0
66,0,0,0,0,0,0
67,0,0,0,0,0,0
68,0,0,0,0,0,0
69,0,0,0,0,0,0
70,0,0,0,1,0.005555555555556,0
71,0,1,0,1,0.116666666666667,0
72,0,1,0,1,0.161111111111112,1
73,0,1,0,2,0.194444444444446,1
74,0,1,0,2,0.194444444444446,1
75,0,1,0,2,0.194444444444446,1
76,0,2,0,3,0.23024691358025,1
77,0,2,0,3,0.503086419753089,1
78,0,2,0,4,0.507716049382718,1
79,0,2,0,4,0.928395061728401,2
80,1,3,0,4,1.23117283950618,2
81,1,3,0,4,1.28549382716049,2
82,1,3,1,4,1.30493827160494,2
83,1,3,1,5,1.34228395061728,2
84,1,3,1,5,1.5817901234568,2
85,1,4,1,5,1.66728395061729,2
86,1,4,1,6,1.8212962962963,2
87,2,4,1,9,1.97037037037037,3
88,2,5,1,10,2.25833333333333,3
89,2,6,1,14,2.64722222222223,3
90,3,7,1,19,3.23024691358024,3
91,3,8,1,20,4.17654320987658,4
92,3,9,1,28,4.96543209876544,5
93,4,12,1,34,5.58888888888889,7
94,4,14,2,38,6.15771604938272,10
95,4,18,2,47,7.50864197530863,11
96,6,21,3,60,9.08333333333335,14
97,6,26,4,75,10.9688271604939,15
98,8,30,5,89,13.4160493827162,16
99,8,38,5,109,15.8225308641975,18
100,9,45,5,134,19.2666666666666,22
101,10,54,7,165,22.6688271604938,25
102,13,67,8,198,27.696913580247,30
103,14,81,10,246,33.0348765432099,34
104,17,94,11,301,38.846193415638,39
105,19,119,13,348,46.5646433470508,44
106,22,142,15,408,55.4990397805214,55
107,26,171,18,481,66.2663580246916,69
108,30,202,20,558,79.5736997027891,76
109,36,234,23,633,94.1457904663922,88
110,43,277,28,712,111.431274291267,102
111,54,330,31,802,133.558239026063,120
112,62,401,37,888,157.618405635573,139
113,71,472,44,997,186.518128429355,162
114,82,558,54,1100,219.702106195702,183
115,98,642,59,1201,257.985895347508,224
116,118,729,72,1310,300.838568815729,259
117,136,828,83,1409,346.757223079563,307
118,157,929,98,1507,401.268787151347,366
119,181,1043,112,1667,460.906698673981,426
120,213,1173,126,1836,525.57871370599,502
121,245,1311,148,2014,597.07172210791,597
122,292,1447,176,2185,675.685042295384,691
123,330,1590,204,2341,758.38599679927,771
124,377,1734,230,2512,847.137511431185,868
125,426,1883,269,2667,940.448141003658,974
126,479,2025,308,2836,1039.45752457705,1095
127,536,2157,355,3008,1143.94735368084,1231
128,602,2289,407,3193,1250.11393604252,1336
129,679,2419,459,3371,1359.65206475766,1449
130,758,2547,518,3567,1468.59591620941,1585
131,838,2668,582,3776,1579.05088163009,1709
132,921,2789,656,3944,1690.57880515547,1828
133,1003,2916,732,4133,1803.67088334476,1942
134,1085,3035,812,4326,1916.19788665981,2061
135,1168,3147,895,4504,2027.49500028578,2186
136,1255,3268,981,4684,2138.73099565615,2304
137,1341,3382,1059,4871,2247.29514317558,2412
138,1433,3499,1143,5062,2356.15598565387,2520
139,1526,3614,1222,5234,2464.65306784407,2610
140,1615,3726,1304,5419,2570.55929212391,2703
141,1705,3825,1383,5630,2676.49325988797,2808
142,1793,3933,1456,5841,2778.77314671924,2903
143,1883,4039,1535,6040,2879.23133001828,3010
144,1966,4134,1603,6226,2979.71537637173,3107
145,2057,4241,1671,6420,3076.16394604481,3194
146,2133,4346,1734,6611,3170.89526034522,3274
147,2215,4442,1795,6810,3264.20470964792,3353
148,2293,4543,1845,7003,3355.30851766118,3430
149,2366,4652,1908,7200,3445.98457647463,3501
150,2450,4754,1958,7415,3534.12204075217,3578
151,2523,4863,2008,7606,3620.51530064014,3644
152,2597,4957,2057,7752,3704.87532435987,3712
153,2663,5057,2103,7955,3788.09659350709,3808
154,2723,5154,2154,8142,3869.04463591677,3870
155,2780,5260,2190,8339,3948.46001228851,3940
156,2839,5368,2235,8534,4027.63788580246,3995
157,2891,5475,2271,8696,4103.82803212163,4043
