t,lower1,upper1,lower2,upper2,mean,rep9
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,0,0,0,0,0,0
9,0,0,0,0,0,0
10,0,0,0,0,0,0
11,0,0,0,0,0,0
12,0,0,0,0,0,0
13,0,0,0,0,0,0
14,0,0,0,0,0,0
15,0,0,0,0,0,0
16,0,0,0,0,0,0
17,0,0,0,0,0,0
18,0,0,0,0,0,0
19,0,0,0,0,0,0
20,0,0,0,0,0,0
21,0,0,0,0,0,0
22,0,0,0,0,0,0
23,0,0,0,0,0,0
24,0,0,0,0,0,0
25,0,0,0,0,0,0
26,0,0,0,0,0,0
27,0,0,0,0,0,0
28,0,0,0,0,0,0
29,0,0,0,0,0,0
30,0,0,0,0,0,0
31,0,0,0,0,0,0
32,0,0,0,0,0,0
33,0,0,0,0,0,0
34,0,0,0,0,0,0
35,0,0,0,0,0,0
36,0,0,0,0,0,0
37,0,0,0,0,0,0
38,0,0,0,0,0,0
39,0,0,0,0,0,0
40,0,0,0,0,0,0
41,0,0,0,0,0,0
42,0,0,0,0,0,0
43,0,0,0,0,0,0
44,0,0,0,0,0,0
45,0,0,0,0,0,0
46,0,0,0,0,0,0
47,0,0,0,0,0,0
48,0,0,0,0,0,0
49,0,0,0,0,0,0
50,0,0,0,0,0,0
51,0,0,0,0,0,0
52,0,0,0,0,0,0
53,0,0,0,0,0,0
54,0,0,0,0,0,0
55,0,0,0,0,0,0
56,0,0,0,0,0,0
57,0,0,0,0,0,0
58,0,0,0,0,0,0
59,0,0,0,0,0,0
60,0,0,0,0,0,0
61,0,0,0,0,0,0
62,0,0,0,0,0,0
63,0,0,0,0,0,0
64,0,0,0,0,0,0
65,0,0,0,0,0,0
66,0,0,0,0,0,0
67,0,0,0,0,0,0
68,0,0,0,0,0,0
69,0,0,0,0,0,0
70,0,0,0,1,0.01350763875742,0
71,0,1,0,1,0.09973544973545,0
72,0,1,0,1,0.153159027909247,1
73,0,1,0,2,0.212962962962964,1
74,0,1,0,2,0.212962962962964,1
75,0,1,0,2,0.213734567901235,1
76,0,2,0,3,0.25407848324515,1
77,0,2,0,4,0.486160470992489,1
78,0,2,0,5,0.72502204585538,1
79,1,2,0,5,0.842261904761904,2
80,1,2,0,5,1.15320959021003,2
81,1,2,1,5,1.20649585432743,2
82,1,2,1,5,1.16240414356906,2
83,1,3,1,5,1.29438357504893,2
84,1,3,1,6,1.62066223466093,3
85,1,4,1,6,1.92139238197373,3
86,2,4,1,7,2.24055023029823,3
87,2,5,1,11,2.46301759101493,4
88,2,5,1,12,2.78905901438838,6
89,2,6,1,15,3.16235764701946,6
90,3,7,2,20,2.89185379909741,6
91,3,10,2,23,4.25348754014763,6
92,4,13,2,29,5.81820123036088,6
93,4,16,2,36,7.72828649336393,7
94,5,21,2,44,8.39709303966826,9
95,5,27,2,60,10.6765254590189,12
96,6,36,3,74,12.1557429172329,15
97,7,42,3,103,15.1856124171862,19
98,9,52,3,122,17.8050673979718,22
99,11,66,4,159,21.3725694023042,23
100,13,79,5,202,25.1732712624181,25
101,15,94,5,241,29.8458569839141,28
102,16,123,7,299,36.4165235135727,30
103,20,155,9,381,44.7439384798164,32
104,24,196,9,478,54.4636992392451,36
105,30,243,10,582,65.0402067181599,44
106,34,307,15,732,80.9110005791707,54
107,40,378,17,891,94.0550212475412,67
108,47,443,19,1081,115.042549383408,82
109,53,546,25,1323,138.566421934976,98
110,61,666,30,1627,164.582901871518,117
111,74,804,34,2006,200.701988816887,136
112,88,988,40,2458,245.270087630202,170
113,106,1201,47,2932,278.760622248008,203
114,122,1465,53,3397,333.517068978968,252
115,142,1773,69,3894,401.838498787967,296
116,162,2130,82,4438,471.508399334452,352
117,186,2571,96,5023,551.952439034917,433
118,223,3044,117,5676,648.666889025083,539
119,263,3553,136,6419,766.229470628586,663
120,309,4181,161,7224,915.914795181977,781
121,359,4876,195,8029,1094.90946140054,928
122,429,5637,227,8912,1289.9339622738,1100
123,515,6425,269,9739,1519.6160582386,1289
124,605,7281,329,10636,1777.74656847885,1497
125,705,8155,393,11498,2066.10502672522,1743
126,821,9055,464,12472,2410.68736782317,2000
127,951,9927,551,13423,2768.78683096272,2341
128,1110,10815,640,14255,3151.53343763549,2644
129,1277,11627,747,15171,3583.75158585416,2996
130,1476,12406,870,16163,4076.93134835801,3386
131,1682,13146,1005,17148,4586.93221348809,3790
132,1913,13905,1169,18079,5122.57201435758,4185
133,2146,14647,1343,19035,5702.72295998888,4618
134,2410,15340,1549,20028,6301.73073519248,5081
135,2693,15980,1780,21140,6902.91938817422,5531
136,2995,16573,2027,22199,7526.85438720057,6012
137,3306,17198,2294,23203,8129.735992546,6440
138,3647,17764,2576,24310,8746.75297059555,6885
139,3989,18287,2892,25413,9364.61457198594,7363
140,4349,18819,3228,26460,9981.1764873163,7772
141,4708,19379,3595,27405,10588.7710168989,8189
142,5056,19914,3983,28471,11191.218448648,8593
143,5427,20412,4371,29547,11768.8473339049,9022
144,5792,20901,4790,30617,12341.1150195501,9430
145,6163,21345,5208,31598,12888.5219081393,9830
146,6539,21777,5612,32473,13448.8333139849,10202
147,6931,22235,5988,33239,13971.8718959,10555
148,7330,22641,6320,34260,14490.5668614988,10909
149,7728,22986,6635,35351,15004.9869338091,11283
150,8124,23336,6920,36336,15515.1012764823,11638
151,8503,23679,7233,37308,16003.3503960896,11935
152,8874,24007,7469,38252,16479.6125834066,12216
153,9242,24364,7717,39176,16944.3968036943,12541
154,9593,24750,7942,40164,17408.4252408447,12851
155,9974,25163,8177,41030,17871.1713634853,13133
156,10338,25563,8407,41804,18327.4648063626,13422
