t,Relative_spatial_contact_rate_given_social_distancing,Delay_to_start_case_isolation,Latent_period,first_order_contribution,3_param_contribution
0,nan,0,0,0,0
30,nan,0,0,0,0
60,nan,0,0,0,0
90,2.1187983848217E-31,7.29194584477111E-05,0.702359880801765,0.819330569877345,0.702432800260213
120,0.000898528215135,0.000122054659649,0.897279278081349,0.970058953622862,0.898299860956133
150,0.205620948367727,0.0168150452263,0.636161563391763,0.910129467025365,0.85859755698579
180,0.388420685254507,0.07307365404706,0.21238547511446,0.856063515235347,0.673879814416027
210,0.389937535404016,0.101552643665112,0.084785220988494,0.821439010709858,0.576275400057622
240,0.371041570692337,0.113398312507186,0.041335029700112,0.791620024946394,0.525774912899634
270,0.355427824018791,0.117785669968944,0.023125784747336,0.76484877293312,0.49633927873507
300,0.344679261040038,0.118018346117531,0.014804785816557,0.742764650800858,0.477502392974126
330,0.336747921945193,0.118900008708622,0.010365508123393,0.725626855210004,0.466013438777209
360,0.332542392597839,0.116286535968713,0.008828039255873,0.713170421447528,0.457656967822424
390,0.329328707327833,0.116266454018558,0.008884954685114,0.706095753115695,0.454480116031505
420,0.326917829099285,0.116065121393296,0.009186341951311,0.70218638599563,0.452169292443892
450,0.324380497425943,0.118396873466902,0.010056970737163,0.704090599206181,0.452834341630009
480,0.322516246255641,0.123060356704196,0.011685900198345,0.709021235809516,0.457262503158182
510,0.321184221068677,0.124359559826836,0.013752784132196,0.713271643968295,0.459296565027709
540,0.31837129732995,0.125172108079518,0.017666126027735,0.717224183487141,0.461209531437204
570,0.314815599011428,0.12970965731794,0.018344030751649,0.72166976467401,0.462869287081018
600,0.313457475129794,0.132524949438767,0.016960940431481,0.724701630895356,0.462943365000042
630,0.31373065099854,0.131621292045827,0.018125321996224,0.728895281055346,0.463477265040591
660,0.310437428137576,0.133085377079057,0.021100435463501,0.732511133781602,0.464623240680133
690,0.306703056924546,0.13658368335075,0.024837626192314,0.736427225707081,0.46812436646761
720,0.30572190036348,0.138957882255734,0.027636344312009,0.740935709385693,0.472316126931224
750,0.304047861993012,0.13928341001584,0.030047904421093,0.74320288232119,0.473379176429945
780,0.303976228683476,0.135358432165715,0.031535352573927,0.742728087047387,0.470870013423117
