t,Relative_spatial_contact_rate_given_social_distancing,Delay_to_start_case_isolation,Latent_period,first_order_contribution,3_param_contribution
0,0,0,0,0,0
30,0,0,0,0,0
60,0,0,0,0,0
90,2.26802369762816E-32,2.5996956370809E-05,0.325723351738853,0.593428456557565,0.325749348695223
120,4.38467989618448E-05,0.001172820025067,0.699207699717091,0.83362744190465,0.70042436654112
150,0.052456128082272,0.061402556459455,0.719025858565796,0.894518447224562,0.832884543107523
180,0.21903419004038,0.130849306529819,0.327310193568083,0.872149714376915,0.677193690138282
210,0.308954495904931,0.160554943553657,0.15602065813652,0.877390364770906,0.625530097595108
240,0.339640581054574,0.16781370359447,0.097639049767204,0.863937503368523,0.605093334416247
270,0.324987454408392,0.171272368162376,0.095381799302439,0.847784653919072,0.591641621873206
300,0.320715392972831,0.170384460961542,0.106261321658066,0.852292436446196,0.597361175592439
330,0.317719727997027,0.171705356868661,0.119917692523416,0.865097467686242,0.609342777389104
360,0.299170382631845,0.18320190487278,0.116172935307536,0.868387077641376,0.598545222812161
390,0.297698291111094,0.189310011509328,0.119159886718593,0.872441662512608,0.606168189339015
420,0.290886693547279,0.18971089123976,0.132353378945309,0.879083018876058,0.612950963732347
450,0.285273925502423,0.192436229754328,0.138321213203058,0.882389130969127,0.616031368459808
480,0.292936138305294,0.202941091051723,0.130481560526528,0.884863365394284,0.626358789883545
510,0.274110062810147,0.204918120221835,0.144352361973666,0.89149810062569,0.623380545005648
540,0.270398132094149,0.206612390463024,0.156057685819792,0.893194448666043,0.633068208376964
570,0.283083702245406,0.213465889915283,0.133623778896684,0.890482033363952,0.630173371057373
600,0.268606066586133,0.216935275153577,0.146459920128999,0.897274285903262,0.632001261868709
630,0.271029858747603,0.217858654903838,0.16180138511448,0.900377265056799,0.650689898765922
660,0.26807203713062,0.219205345795522,0.149044096801957,0.897086023827539,0.636321479728099
690,0.261438450480393,0.225750109141065,0.15258349107752,0.901811420081568,0.639772050698979
720,0.260868366250351,0.222491782633284,0.170498246520336,0.904152511302062,0.653858395403971
750,0.25361314597745,0.224602181387827,0.168295454808996,0.90386550001044,0.646510782174273
780,0.252671963939352,0.2318487294906,0.167425541148573,0.905467576776843,0.651946234578525
